entry_time,exit_time,symbol,strategy,regime,conf,return_pct
2021-04-26 05:15:00,2021-04-29 05:15:00,XTZUSDT,ripshort,Bear,0.0000,-10.1550
2021-04-28 18:30:00,2021-04-30 18:30:00,XTZUSDT,swing_long,Bull,0.0000,5.4304
2021-04-29 08:30:00,2021-05-01 08:30:00,XTZUSDT,diplong,Bull,0.0000,1.9394
2021-05-02 09:30:00,2021-05-04 09:30:00,XTZUSDT,diplong,Bull,0.0000,5.2490
2021-05-03 00:30:00,2021-05-05 00:30:00,XTZUSDT,swing_long,Bull,0.0000,2.7936
2021-05-06 16:15:00,2021-05-08 16:15:00,XTZUSDT,swing_long,Bull,0.0000,34.4099
2021-05-09 11:30:00,2021-05-11 11:30:00,XTZUSDT,diplong,Bull,0.0000,-11.7232
2021-05-12 01:30:00,2021-05-15 01:30:00,XTZUSDT,ripshort,Bear,0.1184,-16.0618
2021-05-19 17:15:00,2021-05-22 17:15:00,XTZUSDT,ripshort,Bear,0.1184,33.5985
2021-05-27 00:30:00,2021-05-29 00:30:00,XTZUSDT,swing_long,Bull,0.0000,9.3093
2021-06-01 17:30:00,2021-06-03 17:30:00,XTZUSDT,swing_long,Bull,0.0000,5.1045
2021-06-02 02:30:00,2021-06-05 02:30:00,XTZUSDT,grid,Ranging,0.0941,2.8735
2021-06-02 02:30:00,2021-06-05 02:30:00,XTZUSDT,gridshort,Ranging,0.0530,-1.5476
2021-06-03 19:30:00,2021-06-05 19:30:00,XTZUSDT,diplong,Bull,0.0000,8.4448
2021-06-06 20:15:00,2021-06-09 20:15:00,XTZUSDT,ripshort,Bear,0.1184,-8.9266
2021-06-10 08:30:00,2021-06-13 08:30:00,XTZUSDT,grid,Bull,0.0000,-2.1249
2021-06-15 04:30:00,2021-06-17 04:30:00,XTZUSDT,swing_long,Bull,0.0000,6.2945
2021-06-16 10:30:00,2021-06-19 10:30:00,XTZUSDT,gridshort,Bull,0.0000,3.0027
2021-06-16 10:30:00,2021-06-19 10:30:00,XTZUSDT,grid,Bull,0.0000,-2.3356
2021-06-17 13:30:00,2021-06-20 13:30:00,XTZUSDT,ripshort,Bear,0.0000,-4.4600
2021-06-21 23:30:00,2021-06-24 23:30:00,XTZUSDT,accumgrid,Bear,0.1063,-12.5082
2021-06-22 18:30:00,2021-06-25 18:30:00,XTZUSDT,ripshort,Bear,0.1184,19.7151
2021-06-23 10:45:00,2021-06-26 10:45:00,XTZUSDT,ripshort,Bear,0.0000,-13.7181
2021-06-24 11:30:00,2021-06-27 11:30:00,XTZUSDT,ripshort,Bear,0.0000,-3.5534
2021-07-03 09:30:00,2021-07-05 09:30:00,XTZUSDT,swing_long,Bull,0.0000,0.2309
2021-07-10 22:30:00,2021-07-13 22:30:00,XTZUSDT,gridshort,Bull,0.0000,-1.6255
2021-07-11 08:30:00,2021-07-14 08:30:00,XTZUSDT,gridshort,Ranging,0.0530,-0.9125
2021-07-11 08:30:00,2021-07-14 08:30:00,XTZUSDT,gridshort,Ranging,0.0530,-0.3486
2021-07-11 08:30:00,2021-07-14 08:30:00,XTZUSDT,grid,Ranging,0.0941,1.7503
2021-07-19 14:30:00,2021-07-22 14:30:00,XTZUSDT,ripshort,Bear,0.0000,18.4486
2021-07-23 22:30:00,2021-07-25 22:30:00,XTZUSDT,swing_long,Bull,0.2694,16.2452
2021-07-24 13:30:00,2021-07-26 13:30:00,XTZUSDT,diplong,Bull,0.2183,13.4884
2021-07-26 11:30:00,2021-07-28 11:30:00,XTZUSDT,swing_long,Bull,0.2694,11.6629
2021-07-27 07:30:00,2021-07-29 07:30:00,XTZUSDT,diplong,Bull,0.2183,4.2415
2021-07-27 12:30:00,2021-07-30 12:30:00,XTZUSDT,accumgrid,Bull,0.1063,4.6806
2021-07-29 17:30:00,2021-08-01 17:30:00,XTZUSDT,gridshort,Bull,0.0000,0.7334
2021-07-29 18:30:00,2021-08-01 18:30:00,XTZUSDT,gridshort,Bull,0.0000,0.7334
2021-07-29 18:30:00,2021-07-31 18:30:00,XTZUSDT,diplong,Bull,0.0000,-0.5510
2021-07-29 18:30:00,2021-08-01 18:30:00,XTZUSDT,gridshort,Bull,0.0000,0.7372
2021-07-29 19:30:00,2021-08-01 19:30:00,XTZUSDT,gridshort,Bull,0.0000,0.7411
2021-07-29 20:30:00,2021-08-01 20:30:00,XTZUSDT,grid,Bull,0.0000,0.7683
2021-07-29 22:30:00,2021-08-01 22:30:00,XTZUSDT,grid,Bull,0.0000,0.7643
2021-07-29 23:30:00,2021-08-01 23:30:00,XTZUSDT,gridshort,Bull,0.0000,-1.5405
2021-07-29 23:30:00,2021-08-01 23:30:00,XTZUSDT,gridshort,Bull,0.0000,-1.1302
2021-08-04 21:30:00,2021-08-06 21:30:00,XTZUSDT,swing_long,Bull,0.0000,0.5153
2021-08-07 11:30:00,2021-08-09 11:30:00,XTZUSDT,swing_long,Bull,0.0000,10.4457
2021-08-08 12:30:00,2021-08-10 12:30:00,XTZUSDT,diplong,Bull,0.2183,6.6088
2021-08-08 19:30:00,2021-08-11 19:30:00,XTZUSDT,accumgrid,Bull,0.1063,-3.9033
2021-08-11 21:30:00,2021-08-13 21:30:00,XTZUSDT,swing_long,Bull,0.2694,6.2478
2021-08-14 09:30:00,2021-08-16 09:30:00,XTZUSDT,diplong,Bull,0.0000,6.5731
2021-08-14 12:30:00,2021-08-16 12:30:00,XTZUSDT,swing_long,Bull,0.0000,1.1249
2021-08-22 08:30:00,2021-08-24 08:30:00,XTZUSDT,swing_long,Bull,0.0000,6.4726
2021-08-23 12:30:00,2021-08-25 12:30:00,XTZUSDT,diplong,Bull,0.2183,8.3391
2021-08-28 18:30:00,2021-08-30 18:30:00,XTZUSDT,diplong,Bull,0.0000,11.9067
2021-09-04 18:30:00,2021-09-06 18:30:00,XTZUSDT,swing_long,Bull,0.0000,-1.3693
2021-09-07 00:00:00,2021-09-09 00:00:00,THETAUSDT,diplong,Bull,0.2515,15.3700
2021-09-07 09:30:00,2021-09-09 09:30:00,XTZUSDT,diplong,Bull,0.0000,-5.7242
2021-09-09 12:00:00,2021-09-12 12:00:00,XTZUSDT,ripshort,Bear,0.1184,-9.9804
